title,link,date,page_url
"Aaron Swartz due anni dopo, Obama non rimuove il procuratore",https://www.repubblica.it/tecnologia/2015/01/11/news/aaron_swartz_obama-104723010/?ref=search,11 gennaio 2015,https://ricerca.repubblica.it/ricerca/repubblica?query=sopa&fromdate=2015-01-01&todate=2020-01-01&sortby=adate&author=&mode=any&page=1
"I frutti del web sono di tutti, ""ma ci vogliono nuove regole""",https://www.repubblica.it/tecnologia/2015/01/18/news/i_frutti_del_web_sono_di_tutti_ma_ci_vogliono_nuove_regole-105184856/?ref=search,18 gennaio 2015,https://ricerca.repubblica.it/ricerca/repubblica?query=sopa&fromdate=2015-01-01&todate=2020-01-01&sortby=adate&author=&mode=any&page=1
no titolo,https://quotidiano.repubblica.it/edicola/searchdetail?id=http://archivio.repubblica.extra.kataweb.it/archivio/repubblica/2015/01/18/i-fruttidel-websonodi-tutti42.html&hl=&query=sopa&field=nel+testo&testata=repubblica&newspaper=REP&edition=nazionale&zona=sfoglio&ref=search,18 gennaio 2015,https://ricerca.repubblica.it/ricerca/repubblica?query=sopa&fromdate=2015-01-01&todate=2020-01-01&sortby=adate&author=&mode=any&page=1
"Giochi Europei, pioggia di medaglie per l'Italia: oro da scherma e nuoto",http://www.repubblica.it/sport/vari/2015/06/25/news/giochi_europei_quattro_azzurri_in_finale_per_la_boxe-117672858/?ref=search,25 giugno 2015,https://ricerca.repubblica.it/ricerca/repubblica?query=sopa&fromdate=2015-01-01&todate=2020-01-01&sortby=adate&author=&mode=any&page=1
"Papa Francesco, un milione di fedeli ad Asuncion: ""Nessuno può obbligarci a non essere accoglienti""",http://www.repubblica.it/vaticano/2015/07/12/news/papa_francesco_ultimo_giorno_in_paraguay-118927335/?ref=search,12 luglio 2015,https://ricerca.repubblica.it/ricerca/repubblica?query=sopa&fromdate=2015-01-01&todate=2020-01-01&sortby=adate&author=&mode=any&page=1
"RepTv News, Visetti: Ai Weiwei contro Lego, la guerra dei mattoncini",http://video.repubblica.it/rubriche/reptv-news/reptv-news-visetti-ai-weiwei-contro-lego-e-guerra-a-colpi-di-mattoncini/216952/216136?ref=search,02 novembre 2015,https://ricerca.repubblica.it/ricerca/repubblica?query=sopa&fromdate=2015-01-01&todate=2020-01-01&sortby=adate&author=&mode=any&page=1
Stato sotto il 25% dell’Enel per fusione con Green Power,https://quotidiano.repubblica.it/edicola/searchdetail?id=http://archivio.repubblica.extra.kataweb.it/archivio/repubblica/2016/01/08/stato-sotto-il-25-dellenel-per-fusione-con-green-power24.html&hl=&query=sopa&field=nel+testo&testata=repubblica&newspaper=REP&edition=nazionale&zona=sfoglio&ref=search,08 gennaio 2016,https://ricerca.repubblica.it/ricerca/repubblica?query=sopa&fromdate=2015-01-01&todate=2020-01-01&sortby=adate&author=&mode=any&page=1
"Aaron Swartz tre anni dopo, resta il simbolo del diritto di sapere",https://www.repubblica.it/tecnologia/sicurezza/2016/01/11/news/tre_anni_morte_aaron_swartz-131012501/?ref=search,11 gennaio 2016,https://ricerca.repubblica.it/ricerca/repubblica?query=sopa&fromdate=2015-01-01&todate=2020-01-01&sortby=adate&author=&mode=any&page=1
Merida. L'anno della perla dello Yucatan,http://www.repubblica.it/viaggi/2016/12/06/news/merida_anno_cultura_messico-153577693/?ref=search,06 dicembre 2016,https://ricerca.repubblica.it/ricerca/repubblica?query=sopa&fromdate=2015-01-01&todate=2020-01-01&sortby=adate&author=&mode=any&page=1
Dal Garda a Treviso passando per Parigi. Ecco il risultato,http://www.repubblica.it/venerdi/ristoranti/2016/12/26/news/dal_garda_a_treviso_passando_per_parigi_ecco_il_risultato-154893987/?ref=search,26 dicembre 2016,https://ricerca.repubblica.it/ricerca/repubblica?query=sopa&fromdate=2015-01-01&todate=2020-01-01&sortby=adate&author=&mode=any&page=1
"""Giustizia per lui e molte battaglie vinte"": Reda e gli altri in memoria di Aaron Swartz",https://www.repubblica.it/tecnologia/2017/01/11/news/_giustizia_per_lui_e_molte_battaglie_vinte_julia_e_gli_altri_in_memoria_di_aaron_swartz-155818384/?ref=search,11 gennaio 2017,https://ricerca.repubblica.it/ricerca/repubblica?query=sopa&fromdate=2015-01-01&todate=2020-01-01&sortby=adate&author=&mode=any&page=2
